0,1,2,3,4,5,6,7,8,9,10
chicken,brown bread,,,,,,,,,
napkins,sugar,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
pork,cat food,,,,,,,,,
yogurt,canned beer,,,,,,,,,
ham,whole milk,candy,,,,,,,,
snack products,soda,,,,,,,,,
soda,salt,,,,,,,,,
cling film/bags,curd,,,,,,,,,
domestic eggs,chewing gum,,,,,,,,,
canned beer,tropical fruit,pet care,,,,,,,,
beverages,bottled water,,,,,,,,,
white bread,frozen vegetables,,,,,,,,,
whole milk,frankfurter,yogurt,pip fruit,dessert,soda,margarine,,,,
finished products,domestic eggs,,,,,,,,,
hamburger meat,tidbits,,,,,,,,,
soda,semi-finished bread,,,,,,,,,
brown bread,beef,bottled beer,specialty fat,,,,,,,
sausage,pastry,mayonnaise,,,,,,,,
red/blush wine,berries,,,,,,,,,
other vegetables,curd,,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
chicken,yogurt,hygiene articles,brown bread,,,,,,,
ham,yogurt,,,,,,,,,
soda,whipped/sour cream,,,,,,,,,
citrus fruit,other vegetables,yogurt,,,,,,,,
yogurt,rolls/buns,rolls/buns,,,,,,,,
yogurt,shopping bags,,,,,,,,,
chicken,sugar,domestic eggs,,,,,,,,
root vegetables,citrus fruit,,,,,,,,,
chicken,roll products ,,,,,,,,,
pip fruit,turkey,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
butter,brown bread,,,,,,,,,
pip fruit,margarine,,,,,,,,,
chocolate,cat food,,,,,,,,,
other vegetables,brown bread,,,,,,,,,
onions,pastry,,,,,,,,,
seasonal products,butter,ice cream,,,,,,,,
butter milk,bottled water,,,,,,,,,
sausage,yogurt,baking powder,,,,,,,,
yogurt,rolls/buns,soda,,,,,,,,
sausage,liquor (appetizer),,,,,,,,,
tropical fruit,yogurt,misc. beverages,,,,,,,,
sausage,other vegetables,,,,,,,,,
tropical fruit,coffee,newspapers,,,,,,,,
sausage,whole milk,,,,,,,,,
tropical fruit,hygiene articles,candles,,,,,,,,
rolls/buns,yogurt,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
whole milk,misc. beverages,,,,,,,,,
pip fruit,specialty chocolate,liquor (appetizer),soda,,,,,,,
meat,root vegetables,,,,,,,,,
tropical fruit,condensed milk,pastry,,,,,,,,
ice cream,dishes,,,,,,,,,
pastry,whipped/sour cream,,,,,,,,,
pip fruit,coffee,whole milk,pastry,seasonal products,,,,,,
canned beer,whipped/sour cream,,,,,,,,,
bottled water,red/blush wine,,,,,,,,,
liquor,vinegar,,,,,,,,,
tropical fruit,bottled beer,cake bar,yogurt,,,,,,,
rolls/buns,margarine,,,,,,,,,
pickled vegetables,frozen vegetables,,,,,,,,,
specialty chocolate,sauces,,,,,,,,,
chicken,bottled water,,,,,,,,,
rolls/buns,bottled beer,,,,,,,,,
pastry,meat,,,,,,,,,
citrus fruit,pastry,,,,,,,,,
margarine,newspapers,,,,,,,,,
organic sausage,grapes,pastry,,,,,,,,
other vegetables,cookware,canned beer,canned beer,frozen vegetables,butter,ice cream,bottled water,,,
butter milk,root vegetables,,,,,,,,,
dessert,flower (seeds),,,,,,,,,
soda,misc. beverages,,,,,,,,,
soda,rolls/buns,,,,,,,,,
soda,soda,cereals,,,,,,,,
whole milk,napkins,,,,,,,,,
yogurt,frozen meals,,,,,,,,,
sausage,soda,,,,,,,,,
curd,soda,sugar,specialty chocolate,artif. sweetener,,,,,,
turkey,yogurt,,,,,,,,,
root vegetables,soda,coffee,,,,,,,,
soda,pastry,,,,,,,,,
dessert,other vegetables,,,,,,,,,
sausage,UHT-milk,,,,,,,,,
curd,spices,,,,,,,,,
flower soil/fertilizer,yogurt,specialty chocolate,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
cream cheese ,chocolate marshmallow,spread cheese,pastry,,,,,,,
curd,whole milk,bottled water,,,,,,,,
sausage,frozen vegetables,,,,,,,,,
whole milk,butter milk,beverages,,,,,,,,
beef,other vegetables,,,,,,,,,
coffee,kitchen towels,,,,,,,,,
hamburger meat,newspapers,,,,,,,,,
canned beer,bottled beer,,,,,,,,,
pork,processed cheese,,,,,,,,,
citrus fruit,citrus fruit,,,,,,,,,
pip fruit,white bread,margarine,baking powder,,,,,,,
frozen meals,white bread,cereals,ready soups,,,,,,,
pip fruit,frozen vegetables,butter milk,,,,,,,,
citrus fruit,fruit/vegetable juice,,,,,,,,,
sausage,other vegetables,,,,,,,,,
bottled water,other vegetables,,,,,,,,,
coffee,yogurt,,,,,,,,,
other vegetables,sliced cheese,,,,,,,,,
yogurt,roll products ,fruit/vegetable juice,,,,,,,,
whole milk,canned fish,,,,,,,,,
berries,cream cheese ,other vegetables,,,,,,,,
photo/film,white bread,,,,,,,,,
herbs,rolls/buns,,,,,,,,,
beef,white wine,,,,,,,,,
bottled water,curd,,,,,,,,,
berries,butter,,,,,,,,,
other vegetables,whole milk,soups,shopping bags,,,,,,,
specialty chocolate,sugar,domestic eggs,,,,,,,,
other vegetables,soda,,,,,,,,,
UHT-milk,whole milk,,,,,,,,,
citrus fruit,coffee,,,,,,,,,
dessert,soda,,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
other vegetables,frankfurter,rolls/buns,other vegetables,shopping bags,,,,,,
whole milk,other vegetables,,,,,,,,,
citrus fruit,soda,,,,,,,,,
meat,sliced cheese,,,,,,,,,
tropical fruit,coffee,,,,,,,,,
turkey,soft cheese,other vegetables,canned beer,,,,,,,
tropical fruit,pickled vegetables,,,,,,,,,
whole milk,pip fruit,,,,,,,,,
yogurt,dessert,,,,,,,,,
root vegetables,pickled vegetables,,,,,,,,,
berries,whole milk,,,,,,,,,
pet care,dog food,,,,,,,,,
onions,canned fish,,,,,,,,,
frozen vegetables,other vegetables,,,,,,,,,
citrus fruit,bottled water,,,,,,,,,
cream cheese ,baking powder,,,,,,,,,
sausage,onions,misc. beverages,,,,,,,,
whole milk,newspapers,,,,,,,,,
canned beer,chocolate marshmallow,,,,,,,,,
white wine,fruit/vegetable juice,,,,,,,,,
rolls/buns,yogurt,,,,,,,,,
photo/film,bottled beer,,,,,,,,,
bottled beer,newspapers,,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
sausage,ketchup,,,,,,,,,
whole milk,domestic eggs,,,,,,,,,
specialty chocolate,vinegar,,,,,,,,,
long life bakery product,candy,,,,,,,,,
whole milk,shopping bags,rolls/buns,,,,,,,,
bottled water,chewing gum,beef,brown bread,,,,,,,
domestic eggs,whole milk,napkins,,,,,,,,
beef,bottled water,,,,,,,,,
liquor,baking powder,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
salty snack,beef,,,,,,,,,
oil,pork,other vegetables,frozen meals,,,,,,,
bottled water,detergent,,,,,,,,,
ice cream,whole milk,,,,,,,,,
soda,chewing gum,,,,,,,,,
beef,whole milk,frozen meals,,,,,,,,
tropical fruit,cream cheese ,,,,,,,,,
beverages,packaged fruit/vegetables,,,,,,,,,
nuts/prunes,root vegetables,white wine,pastry,,,,,,,
mayonnaise,misc. beverages,napkins,,,,,,,,
beef,canned beer,,,,,,,,,
frozen potato products,whole milk,pastry,rolls/buns,candy,bottled beer,,,,,
cake bar,pastry,butter,,,,,,,,
citrus fruit,frozen vegetables,,,,,,,,,
butter,whole milk,,,,,,,,,
packaged fruit/vegetables,frozen fruits,rolls/buns,,,,,,,,
other vegetables,soda,,,,,,,,,
root vegetables,pork,soda,coffee,pastry,,,,,,
misc. beverages,cling film/bags,curd,,,,,,,,
meat,bottled water,,,,,,,,,
whole milk,pastry,,,,,,,,,
frankfurter,citrus fruit,specialty chocolate,,,,,,,,
tropical fruit,sausage,,,,,,,,,
root vegetables,fruit/vegetable juice,specialty chocolate,,,,,,,,
whole milk,soda,,,,,,,,,
whipped/sour cream,hygiene articles,,,,,,,,,
grapes,frozen vegetables,vinegar,,,,,,,,
tropical fruit,domestic eggs,chocolate,,,,,,,,
citrus fruit,soda,,,,,,,,,
dessert,whole milk,,,,,,,,,
whole milk,cleaner,,,,,,,,,
sausage,bottled water,,,,,,,,,
canned beer,bottled beer,chocolate,,,,,,,,
bottled beer,pip fruit,,,,,,,,,
citrus fruit,whole milk,bottled water,,,,,,,,
rolls/buns,oil,chocolate,,,,,,,,
berries,newspapers,frozen fish,,,,,,,,
root vegetables,pastry,other vegetables,rolls/buns,,,,,,,
chicken,frozen meals,napkins,,,,,,,,
pastry,whole milk,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
chocolate,whole milk,,,,,,,,,
root vegetables,napkins,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
frankfurter,canned beer,citrus fruit,frozen vegetables,chicken,oil,soda,,,,
beef,root vegetables,frozen potato products,butter,newspapers,,,,,,
yogurt,whole milk,,,,,,,,,
canned beer,bottled water,,,,,,,,,
meat,other vegetables,,,,,,,,,
root vegetables,bottled water,whipped/sour cream,,,,,,,,
bottled water,shopping bags,brown bread,,,,,,,,
butter milk,pickled vegetables,hygiene articles,,,,,,,,
canned beer,cooking chocolate,white bread,curd,mustard,chocolate,,,,,
sweet spreads,soda,,,,,,,,,
sausage,berries,,,,,,,,,
rolls/buns,other vegetables,newspapers,,,,,,,,
sausage,curd,,,,,,,,,
root vegetables,citrus fruit,root vegetables,misc. beverages,sliced cheese,packaged fruit/vegetables,yogurt,whipped/sour cream,,,
sausage,grapes,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
hamburger meat,domestic eggs,,,,,,,,,
butter milk,frozen vegetables,,,,,,,,,
whole milk,butter,,,,,,,,,
pork,specialty chocolate,,,,,,,,,
ham,ice cream,,,,,,,,,
other vegetables,oil,,,,,,,,,
canned beer,shopping bags,,,,,,,,,
beef,female sanitary products,,,,,,,,,
frozen meals,onions,,,,,,,,,
bottled water,white bread,,,,,,,,,
newspapers,other vegetables,,,,,,,,,
frankfurter,sausage,pastry,newspapers,newspapers,honey,,,,,
newspapers,bottled beer,,,,,,,,,
rolls/buns,chocolate,,,,,,,,,
citrus fruit,specialty bar,,,,,,,,,
flower (seeds),whipped/sour cream,specialty chocolate,bottled water,,,,,,,
yogurt,brown bread,,,,,,,,,
other vegetables,bottled water,,,,,,,,,
specialty fat,brandy,,,,,,,,,
fruit/vegetable juice,beef,,,,,,,,,
ham,whole milk,,,,,,,,,
chicken,bottled beer,soda,domestic eggs,other vegetables,,,,,,
yogurt,yogurt,cream cheese ,,,,,,,,
long life bakery product,brown bread,popcorn,,,,,,,,
newspapers,roll products ,,,,,,,,,
pip fruit,chewing gum,,,,,,,,,
chewing gum,cream cheese ,,,,,,,,,
whipped/sour cream,margarine,,,,,,,,,
root vegetables,frozen meals,shopping bags,margarine,,,,,,,
frankfurter,pork,tropical fruit,pastry,,,,,,,
hamburger meat,bottled water,,,,,,,,,
whole milk,packaged fruit/vegetables,abrasive cleaner,napkins,,,,,,,
beef,citrus fruit,,,,,,,,,
chicken,whole milk,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
other vegetables,yogurt,soda,,,,,,,,
sugar,coffee,cream cheese ,bottled water,,,,,,,
rolls/buns,domestic eggs,napkins,,,,,,,,
pastry,bottled beer,,,,,,,,,
pastry,soda,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
specialty bar,chewing gum,,,,,,,,,
liquor (appetizer),whole milk,,,,,,,,,
soda,bottled water,,,,,,,,,
rolls/buns,bottled beer,,,,,,,,,
bottled water,fruit/vegetable juice,,,,,,,,,
bottled beer,whole milk,,,,,,,,,
whole milk,citrus fruit,long life bakery product,salty snack,chocolate,,,,,,
soft cheese,pork,white bread,fruit/vegetable juice,,,,,,,
baking powder,root vegetables,,,,,,,,,
other vegetables,whole milk,canned fruit,,,,,,,,
bottled water,canned beer,,,,,,,,,
whole milk,mustard,,,,,,,,,
root vegetables,butter,,,,,,,,,
whipped/sour cream,bottled water,,,,,,,,,
whole milk,bottled water,,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
rolls/buns,domestic eggs,,,,,,,,,
dessert,margarine,,,,,,,,,
tropical fruit,semi-finished bread,,,,,,,,,
pork,white bread,domestic eggs,,,,,,,,
mustard,salt,,,,,,,,,
salty snack,bottled water,,,,,,,,,
coffee,beef,dishes,brown bread,pastry,,,,,,
pork,house keeping products,,,,,,,,,
sliced cheese,pastry,onions,,,,,,,,
newspapers,salty snack,,,,,,,,,
beef,meat,,,,,,,,,
root vegetables,tropical fruit,other vegetables,processed cheese,,,,,,,
other vegetables,soda,pickled vegetables,,,,,,,,
rolls/buns,curd,,,,,,,,,
rolls/buns,yogurt,,,,,,,,,
whole milk,frozen meals,,,,,,,,,
rolls/buns,whole milk,napkins,fruit/vegetable juice,mustard,,,,,,
root vegetables,sugar,,,,,,,,,
frankfurter,tropical fruit,frozen meals,soda,,,,,,,
citrus fruit,cake bar,,,,,,,,,
sliced cheese,newspapers,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
ice cream,citrus fruit,,,,,,,,,
whole milk,herbs,,,,,,,,,
tropical fruit,frozen vegetables,,,,,,,,,
citrus fruit,rolls/buns,whole milk,,,,,,,,
beef,rolls/buns,,,,,,,,,
pork,liquor,,,,,,,,,
specialty chocolate,root vegetables,popcorn,soups,,,,,,,
rolls/buns,pastry,,,,,,,,,
tropical fruit,grapes,sugar,,,,,,,,
whipped/sour cream,whole milk,,,,,,,,,
whole milk,whipped/sour cream,newspapers,,,,,,,,
rolls/buns,frozen vegetables,,,,,,,,,
curd,specialty chocolate,,,,,,,,,
long life bakery product,soda,soda,,,,,,,,
butter,whipped/sour cream,decalcifier,,,,,,,,
rolls/buns,bottled beer,dishes,pip fruit,whole milk,hard cheese,brown bread,soda,,,
margarine,beverages,,,,,,,,,
soda,tropical fruit,domestic eggs,domestic eggs,,,,,,,
ice cream,dog food,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
pork,oil,,,,,,,,,
bottled water,frozen potato products,,,,,,,,,
soda,UHT-milk,newspapers,white bread,,,,,,,
soda,brown bread,,,,,,,,,
pork,tropical fruit,,,,,,,,,
hamburger meat,newspapers,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
frozen chicken,dessert,,,,,,,,,
domestic eggs,bottled water,,,,,,,,,
berries,rolls/buns,,,,,,,,,
coffee,whole milk,,,,,,,,,
whole milk,whole milk,,,,,,,,,
ice cream,red/blush wine,fruit/vegetable juice,,,,,,,,
citrus fruit,sauces,,,,,,,,,
butter,fruit/vegetable juice,,,,,,,,,
coffee,cat food,,,,,,,,,
chicken,waffles,,,,,,,,,
dessert,meat,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
berries,fruit/vegetable juice,,,,,,,,,
meat,beverages,,,,,,,,,
citrus fruit,beef,,,,,,,,,
meat,whipped/sour cream,,,,,,,,,
specialty chocolate,soda,,,,,,,,,
spread cheese,yogurt,frozen vegetables,,,,,,,,
yogurt,yogurt,,,,,,,,,
pork,whole milk,napkins,,,,,,,,
tropical fruit,tropical fruit,napkins,,,,,,,,
pork,butter,,,,,,,,,
whole milk,red/blush wine,,,,,,,,,
chicken,artif. sweetener,,,,,,,,,
butter,rolls/buns,,,,,,,,,
pork,pip fruit,whole milk,shopping bags,,,,,,,
ham,brown bread,,,,,,,,,
white bread,shopping bags,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
butter milk,pickled vegetables,,,,,,,,,
fruit/vegetable juice,beverages,,,,,,,,,
pasta,tropical fruit,,,,,,,,,
fruit/vegetable juice,soda,,,,,,,,,
citrus fruit,fruit/vegetable juice,,,,,,,,,
soda,bottled water,,,,,,,,,
root vegetables,frozen vegetables,,,,,,,,,
white bread,whipped/sour cream,frozen dessert,pastry,,,,,,,
misc. beverages,pet care,,,,,,,,,
whole milk,coffee,,,,,,,,,
canned beer,other vegetables,yogurt,,,,,,,,
tropical fruit,hamburger meat,tea,,,,,,,,
salty snack,curd,,,,,,,,,
bottled beer,hard cheese,,,,,,,,,
whole milk,whole milk,citrus fruit,light bulbs,,,,,,,
baking powder,bottled water,,,,,,,,,
brown bread,rolls/buns,sliced cheese,,,,,,,,
bottled water,cream cheese ,,,,,,,,,
beverages,white wine,frozen potato products,,,,,,,,
specialty bar,roll products ,,,,,,,,,
hamburger meat,chewing gum,,,,,,,,,
frankfurter,chocolate,mayonnaise,oil,,,,,,,
chicken,hygiene articles,,,,,,,,,
canned beer,specialty vegetables,long life bakery product,,,,,,,,
herbs,white bread,,,,,,,,,
fruit/vegetable juice,root vegetables,,,,,,,,,
rolls/buns,bottled water,,,,,,,,,
frankfurter,syrup,,,,,,,,,
whipped/sour cream,canned beer,,,,,,,,,
processed cheese,dishes,,,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
margarine,waffles,,,,,,,,,
soda,root vegetables,rolls/buns,,,,,,,,
beef,domestic eggs,pastry,,,,,,,,
female sanitary products,curd,,,,,,,,,
whipped/sour cream,photo/film,,,,,,,,,
yogurt,detergent,,,,,,,,,
root vegetables,bottled beer,,,,,,,,,
meat,fruit/vegetable juice,,,,,,,,,
whole milk,other vegetables,white bread,,,,,,,,
flour,dessert,,,,,,,,,
curd,soda,,,,,,,,,
shopping bags,tropical fruit,red/blush wine,,,,,,,,
sausage,coffee,pip fruit,tropical fruit,,,,,,,
sausage,misc. beverages,,,,,,,,,
frozen vegetables,canned beer,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
canned beer,liquor,,,,,,,,,
UHT-milk,other vegetables,,,,,,,,,
canned beer,brown bread,herbs,pastry,,,,,,,
other vegetables,other vegetables,,,,,,,,,
soda,snack products,,,,,,,,,
pork,other vegetables,curd,domestic eggs,domestic eggs,domestic eggs,,,,,
sausage,cream,,,,,,,,,
packaged fruit/vegetables,pudding powder,shopping bags,coffee,,,,,,,
packaged fruit/vegetables,pip fruit,,,,,,,,,
root vegetables,coffee,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
margarine,butter,,,,,,,,,
frankfurter,specialty chocolate,brown bread,herbs,rolls/buns,,,,,,
onions,tropical fruit,shopping bags,other vegetables,,,,,,,
brown bread,tropical fruit,,,,,,,,,
whole milk,citrus fruit,butter,dental care,,,,,,,
yogurt,whipped/sour cream,long life bakery product,hard cheese,,,,,,,
ham,frozen meals,,,,,,,,,
liver loaf,white bread,herbs,pastry,,,,,,,
curd,whole milk,,,,,,,,,
pork,mayonnaise,,,,,,,,,
citrus fruit,hamburger meat,photo/film,,,,,,,,
sausage,whole milk,,,,,,,,,
pastry,waffles,,,,,,,,,
bathroom cleaner,popcorn,,,,,,,,,
beef,pastry,,,,,,,,,
soda,frozen meals,,,,,,,,,
tropical fruit,rolls/buns,canned beer,dish cleaner,,,,,,,
sausage,whipped/sour cream,,,,,,,,,
other vegetables,snack products,,,,,,,,,
canned beer,napkins,,,,,,,,,
packaged fruit/vegetables,bottled water,pork,domestic eggs,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
butter milk,hard cheese,,,,,,,,,
chicken,onions,white bread,,,,,,,,
butter milk,frozen vegetables,,,,,,,,,
tropical fruit,meat,whole milk,candles,,,,,,,
yogurt,pasta,bottled water,,,,,,,,
chicken,other vegetables,,,,,,,,,
citrus fruit,bottled beer,roll products ,,,,,,,,
UHT-milk,ice cream,specialty bar,,,,,,,,
salty snack,butter,,,,,,,,,
beef,salty snack,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
salty snack,rolls/buns,butter,tropical fruit,pastry,root vegetables,fruit/vegetable juice,semi-finished bread,,,
liver loaf,canned beer,candy,,,,,,,,
white bread,citrus fruit,sugar,,,,,,,,
rolls/buns,domestic eggs,butter,butter,,,,,,,
onions,hygiene articles,,,,,,,,,
napkins,white bread,,,,,,,,,
dessert,yogurt,,,,,,,,,
beverages,other vegetables,root vegetables,,,,,,,,
light bulbs,cooking chocolate,,,,,,,,,
chocolate,herbs,,,,,,,,,
other vegetables,margarine,brown bread,,,,,,,,
sausage,whole milk,,,,,,,,,
citrus fruit,flour,,,,,,,,,
coffee,butter,whipped/sour cream,other vegetables,,,,,,,
napkins,pastry,whole milk,,,,,,,,
frozen vegetables,yogurt,pot plants,,,,,,,,
oil,fruit/vegetable juice,domestic eggs,,,,,,,,
newspapers,rolls/buns,,,,,,,,,
yogurt,shopping bags,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
pork,pork,margarine,other vegetables,,,,,,,
whipped/sour cream,beverages,,,,,,,,,
fruit/vegetable juice,pip fruit,,,,,,,,,
rolls/buns,curd cheese,,,,,,,,,
mustard,curd cheese,,,,,,,,,
whole milk,canned vegetables,,,,,,,,,
cream cheese ,popcorn,frozen fish,,,,,,,,
pastry,coffee,,,,,,,,,
chocolate,long life bakery product,,,,,,,,,
root vegetables,misc. beverages,frozen dessert,,,,,,,,
sausage,newspapers,soda,,,,,,,,
yogurt,whole milk,,,,,,,,,
canned beer,misc. beverages,,,,,,,,,
chicken,whole milk,,,,,,,,,
meat,other vegetables,,,,,,,,,
ham,yogurt,,,,,,,,,
root vegetables,frozen meals,salty snack,,,,,,,,
cream cheese ,pip fruit,cat food,shopping bags,,,,,,,
salt,domestic eggs,,,,,,,,,
rolls/buns,cereals,,,,,,,,,
margarine,newspapers,,,,,,,,,
berries,rolls/buns,pastry,,,,,,,,
whole milk,other vegetables,,,,,,,,,
sauces,misc. beverages,,,,,,,,,
rolls/buns,red/blush wine,,,,,,,,,
tropical fruit,chicken,onions,packaged fruit/vegetables,,,,,,,
canned beer,rolls/buns,,,,,,,,,
root vegetables,domestic eggs,,,,,,,,,
butter milk,specialty fat,,,,,,,,,
frankfurter,cream cheese ,,,,,,,,,
hamburger meat,sliced cheese,,,,,,,,,
dessert,sausage,whole milk,oil,,,,,,,
sparkling wine,whole milk,dessert,salt,,,,,,,
yogurt,brown bread,,,,,,,,,
cream cheese ,candy,,,,,,,,,
pork,root vegetables,,,,,,,,,
white bread,brown bread,,,,,,,,,
soda,onions,pastry,,,,,,,,
whole milk,UHT-milk,,,,,,,,,
frozen meals,domestic eggs,domestic eggs,,,,,,,,
pastry,napkins,shopping bags,margarine,,,,,,,
other vegetables,butter,,,,,,,,,
margarine,cat food,,,,,,,,,
pastry,Instant food products,,,,,,,,,
herbs,sugar,,,,,,,,,
ice cream,rolls/buns,,,,,,,,,
white wine,specialty bar,specialty chocolate,,,,,,,,
herbs,onions,brown bread,,,,,,,,
brown bread,waffles,,,,,,,,,
liver loaf,chicken,rolls/buns,spread cheese,shopping bags,,,,,,
canned beer,shopping bags,,,,,,,,,
ham,bottled water,,,,,,,,,
soda,hygiene articles,,,,,,,,,
whole milk,curd,,,,,,,,,
canned beer,newspapers,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
rolls/buns,mustard,newspapers,vinegar,,,,,,,
meat,yogurt,soda,red/blush wine,,,,,,,
pork,yogurt,whole milk,,,,,,,,
pastry,brown bread,,,,,,,,,
whole milk,hard cheese,candles,bottled beer,shopping bags,jam,,,,,
hygiene articles,margarine,,,,,,,,,
yogurt,pet care,,,,,,,,,
root vegetables,waffles,cream cheese ,,,,,,,,
rolls/buns,bottled water,,,,,,,,,
UHT-milk,bottled beer,,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
frankfurter,hair spray,,,,,,,,,
yogurt,hygiene articles,,,,,,,,,
chicken,white bread,,,,,,,,,
pork,whole milk,whole milk,,,,,,,,
canned beer,yogurt,,,,,,,,,
chocolate,whole milk,yogurt,,,,,,,,
ham,canned beer,salty snack,,,,,,,,
whole milk,bottled water,chicken,citrus fruit,canned vegetables,,,,,,
canned beer,root vegetables,,,,,,,,,
frozen meals,red/blush wine,whipped/sour cream,,,,,,,,
cat food,yogurt,bottled beer,pastry,,,,,,,
other vegetables,hygiene articles,,,,,,,,,
finished products,whole milk,other vegetables,cling film/bags,,,,,,,
bottled beer,whole milk,,,,,,,,,
rolls/buns,whole milk,shopping bags,,,,,,,,
sausage,long life bakery product,curd,,,,,,,,
meat,pastry,,,,,,,,,
soda,rolls/buns,soda,,,,,,,,
frankfurter,pip fruit,,,,,,,,,
root vegetables,pastry,,,,,,,,,
chicken,brown bread,,,,,,,,,
root vegetables,frozen dessert,oil,,,,,,,,
frankfurter,UHT-milk,,,,,,,,,
newspapers,cream,,,,,,,,,
white wine,citrus fruit,,,,,,,,,
other vegetables,margarine,,,,,,,,,
other vegetables,whole milk,artif. sweetener,,,,,,,,
bottled water,newspapers,,,,,,,,,
pastry,hygiene articles,,,,,,,,,
frozen vegetables,whipped/sour cream,,,,,,,,,
bottled water,root vegetables,,,,,,,,,
meat,whole milk,newspapers,,,,,,,,
root vegetables,canned beer,specialty cheese,rolls/buns,,,,,,,
white wine,beverages,,,,,,,,,
whole milk,root vegetables,soda,,,,,,,,
sausage,soda,,,,,,,,,
butter,pastry,other vegetables,other vegetables,,,,,,,
frankfurter,whole milk,instant coffee,bottled water,,,,,,,
butter,mayonnaise,,,,,,,,,
root vegetables,butter,frozen vegetables,butter,,,,,,,
hamburger meat,popcorn,,,,,,,,,
other vegetables,UHT-milk,curd,,,,,,,,
sausage,hamburger meat,,,,,,,,,
rolls/buns,coffee,,,,,,,,,
margarine,long life bakery product,,,,,,,,,
cocoa drinks,sliced cheese,,,,,,,,,
beef,chocolate marshmallow,margarine,,,,,,,,
soda,whole milk,,,,,,,,,
butter,sauces,,,,,,,,,
pet care,pork,,,,,,,,,
sausage,white bread,,,,,,,,,
whole milk,butter,,,,,,,,,
beef,beef,,,,,,,,,
frankfurter,pastry,,,,,,,,,
domestic eggs,roll products ,,,,,,,,,
berries,whole milk,,,,,,,,,
root vegetables,tropical fruit,bottled water,white bread,processed cheese,yogurt,beverages,,,,
tropical fruit,grapes,,,,,,,,,
citrus fruit,napkins,,,,,,,,,
beef,bottled water,,,,,,,,,
chicken,fruit/vegetable juice,,,,,,,,,
whole milk,bottled water,,,,,,,,,
tropical fruit,spread cheese,,,,,,,,,
shopping bags,bottled water,,,,,,,,,
curd,coffee,,,,,,,,,
beef,pip fruit,bottled water,margarine,hygiene articles,,,,,,
yogurt,hard cheese,other vegetables,rolls/buns,,,,,,,
root vegetables,semi-finished bread,,,,,,,,,
rolls/buns,grapes,domestic eggs,,,,,,,,
whole milk,misc. beverages,,,,,,,,,
pastry,baking powder,butter,margarine,curd,dishes,,,,,
packaged fruit/vegetables,whole milk,,,,,,,,,
onions,whole milk,,,,,,,,,
tropical fruit,whipped/sour cream,canned vegetables,,,,,,,,
brown bread,soda,,,,,,,,,
beef,salty snack,,,,,,,,,
citrus fruit,pickled vegetables,,,,,,,,,
root vegetables,flower (seeds),,,,,,,,,
frankfurter,whole milk,shopping bags,rolls/buns,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
salty snack,chocolate marshmallow,,,,,,,,,
beverages,waffles,specialty chocolate,,,,,,,,
whole milk,hard cheese,,,,,,,,,
root vegetables,ice cream,margarine,,,,,,,,
finished products,brown bread,dishes,,,,,,,,
chocolate,frozen meals,,,,,,,,,
frozen fish,whole milk,,,,,,,,,
soda,root vegetables,,,,,,,,,
frozen dessert,tropical fruit,,,,,,,,,
sausage,napkins,curd,,,,,,,,
hamburger meat,grapes,candy,,,,,,,,
flour,chocolate marshmallow,,,,,,,,,
dessert,other vegetables,,,,,,,,,
ice cream,yogurt,,,,,,,,,
brown bread,waffles,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
bottled beer,soda,,,,,,,,,
pastry,processed cheese,,,,,,,,,
domestic eggs,butter,,,,,,,,,
whole milk,bottled water,,,,,,,,,
hard cheese,bottled water,specialty fat,,,,,,,,
pet care,beef,,,,,,,,,
citrus fruit,pot plants,newspapers,,,,,,,,
tropical fruit,sliced cheese,,,,,,,,,
